bin                 q                   two_theta           Fx                  Icoh               
429                 4.295000            63.545880           -1.346392           -18.200781         
430                 4.305000            63.711204           -1.257502           -13.044574         
431                 4.315000            63.876676           -1.117881           -5.019428          
432                 4.325000            64.042297           -0.931933           5.597685           
433                 4.335000            64.208068           -0.706843           18.375121          
434                 4.345000            64.373990           -0.452177           32.751308          
435                 4.355000            64.540063           -0.179357           48.066682          
436                 4.365000            64.706288           0.098979            63.600932          
437                 4.375000            64.872667           0.369677            78.613407          
438                 4.385000            65.039198           0.619798            92.384365          
439                 4.395000            65.205885           0.837339            104.254719         
440                 4.405000            65.372726           1.011888            113.662059         
441                 4.415000            65.539724           1.135205            120.170920         
442                 4.425000            65.706878           1.201661            123.495663         
443                 4.435000            65.874190           1.208539            123.514704         
444                 4.445000            66.041660           1.156167            120.275380         
445                 4.455000            66.209289           1.047877            113.989253         
446                 4.465000            66.377079           0.889796            105.018185         
447                 4.475000            66.545029           0.690474            93.852065          
448                 4.485000            66.713142           0.460385            81.079525          
