# Time-averaged data for fix FRDF
# TimeStep Number-of-rows
# Row c_CRDF[1] c_CRDF[2] c_CRDF[3]
10000 200
95 1.18125 1.90285 5.59229
96 1.19375 1.84957 5.92334
97 1.20625 1.66877 6.22832
98 1.21875 1.62006 6.53057
99 1.23125 1.48527 6.81338
100 1.24375 1.40329 7.08604
101 1.25625 1.30456 7.34463
102 1.26875 1.24131 7.59561
103 1.28125 1.14427 7.83154
104 1.29375 1.1362 8.07041
105 1.30625 1.0658 8.29883
106 1.31875 1.03452 8.5248
107 1.33125 0.992367 8.7457
108 1.34375 0.953322 8.96191
109 1.35625 0.890181 9.16758
110 1.36875 0.835401 9.36416
111 1.38125 0.84317 9.56621
112 1.39375 0.786488 9.75811
113 1.40625 0.809133 9.95908
114 1.41875 0.73777 10.1456
115 1.43125 0.755304 10.3399
116 1.44375 0.724004 10.5295
117 1.45625 0.695497 10.7147
118 1.46875 0.695603 10.9032
119 1.48125 0.694897 11.0947
120 1.49375 0.652304 11.2775
121 1.50625 0.680246 11.4714
