time                 x                    y                    z                    total               
357.000000           19.393390            19.789715            17.092971            56.276076           
358.000000           19.454972            19.848304            17.143340            56.446615           
359.000000           19.515587            19.907278            17.194085            56.616950           
360.000000           19.575487            19.966323            17.245172            56.786982           
361.000000           19.635413            20.025930            17.297135            56.958478           
362.000000           19.695678            20.085344            17.348357            57.129380           
363.000000           19.755169            20.145423            17.398964            57.299556           
364.000000           19.815032            20.205612            17.450193            57.470837           
365.000000           19.874665            20.266014            17.501492            57.642171           
366.000000           19.934250            20.326765            17.551988            57.813003           
367.000000           19.994061            20.387070            17.602552            57.983683           
368.000000           20.053881            20.447165            17.651551            58.152597           
369.000000           20.114134            20.507857            17.700726            58.322717           
370.000000           20.174857            20.568419            17.750037            58.493313           
371.000000           20.234973            20.629276            17.799753            58.664002           
372.000000           20.295202            20.689686            17.849484            58.834372           
373.000000           20.355672            20.750115            17.900054            59.005841           
374.000000           20.416811            20.810991            17.951058            59.178860           
375.000000           20.477654            20.872237            18.002090            59.351981           
376.000000           20.538232            20.934212            18.054027            59.526471           
377.000000           20.599404            20.995445            18.105805            59.700655           
378.000000           20.660081            21.056634            18.157953            59.874667           
379.000000           20.720381            21.117949            18.210268            60.048599           
380.000000           20.780985            21.179042            18.262843            60.222871           
381.000000           20.841734            21.239541            18.314126            60.395401           
382.000000           20.902552            21.300157            18.365282            60.567991           
383.000000           20.963651            21.361305            18.416046            60.741002           
384.000000           21.024734            21.422094            18.466523            60.913351           
385.000000           21.085953            21.482457            18.516768            61.085178           
386.000000           21.146803            21.542744            18.566935            61.256481           
387.000000           21.207870            21.603361            18.616952            61.428183           
388.000000           21.269230            21.663563            18.667124            61.599917           
389.000000           21.330214            21.723920            18.717103            61.771237           
390.000000           21.391712            21.784576            18.767118            61.943406           
391.000000           21.452980            21.844205            18.818055            62.115241           
392.000000           21.513999            21.904091            18.868737            62.286827           
393.000000           21.575709            21.964380            18.919012            62.459101           
394.000000           21.637237            22.025208            18.969135            62.631580           
395.000000           21.697302            22.085945            19.018487            62.801734           
396.000000           21.756807            22.146509            19.067038            62.970354           
397.000000           21.816954            22.207123            19.115566            63.139643           
398.000000           21.878055            22.268307            19.163507            63.309869           
399.000000           21.938458            22.329587            19.211937            63.479982           
400.000000           21.998883            22.391845            19.260099            63.650827           
401.000000           22.059226            22.453757            19.308030            63.821013           
402.000000           22.119924            22.516560            19.356301            63.992785           
403.000000           22.180352            22.579048            19.405019            64.164418           
404.000000           22.240562            22.640753            19.454131            64.335446           
405.000000           22.300531            22.703107            19.502424            64.506062           
406.000000           22.360805            22.764749            19.551213            64.676766           
407.000000           22.422551            22.825924            19.599473            64.847948           
408.000000           22.484465            22.887019            19.647763            65.019247           
409.000000           22.546991            22.947603            19.696603            65.191197           
410.000000           22.608578            23.009498            19.745791            65.363867           
411.000000           22.670331            23.070974            19.796048            65.537354           
412.000000           22.731280            23.131208            19.846804            65.709293           
413.000000           22.792274            23.190632            19.897939            65.880845           
414.000000           22.853692            23.251222            19.949101            66.054015           
415.000000           22.915906            23.311220            20.000890            66.228017           
416.000000           22.978626            23.371208            20.052966            66.402800           
417.000000           23.040294            23.431272            20.104615            66.576181           
418.000000           23.101287            23.491046            20.156437            66.748769           
419.000000           23.161563            23.550859            20.208474            66.920896           
420.000000           23.220702            23.608681            20.260017            67.089401           
421.000000           23.279884            23.667047            20.311442            67.258373           
422.000000           23.338695            23.725359            20.362889            67.426943           
423.000000           23.397391            23.782729            20.414152            67.594272           
424.000000           23.456789            23.840651            20.465522            67.762962           
425.000000           23.516120            23.899520            20.517163            67.932803           
426.000000           23.574904            23.959161            20.568303            68.102368           
427.000000           23.633494            24.018129            20.619642            68.271265           
428.000000           23.692115            24.077444            20.671337            68.440896           
429.000000           23.750616            24.137003            20.722863            68.610482           
430.000000           23.809130            24.195343            20.774094            68.778567           
431.000000           23.867821            24.253876            20.824811            68.946508           
432.000000           23.926916            24.311936            20.875209            69.114061           
433.000000           23.986469            24.369668            20.925676            69.281814           
434.000000           24.046675            24.426507            20.976984            69.450165           
435.000000           24.105988            24.483238            21.028313            69.617539           
436.000000           24.165346            24.539392            21.078947            69.783685           
437.000000           24.223228            24.595686            21.130263            69.949177           
438.000000           24.281612            24.653243            21.181403            70.116259           
439.000000           24.340649            24.710452            21.232251            70.283353           
440.000000           24.398900            24.767768            21.283820            70.450487           
441.000000           24.457265            24.825148            21.334996            70.617410           
442.000000           24.516010            24.882889            21.385969            70.784867           
443.000000           24.575018            24.939888            21.437368            70.952275           
444.000000           24.634138            24.996309            21.489282            71.119729           
445.000000           24.692800            25.053478            21.542061            71.288339           
446.000000           24.751958            25.111238            21.595491            71.458687           
447.000000           24.810759            25.168616            21.649293            71.628668           
448.000000           24.869897            25.225819            21.701979            71.797694           
449.000000           24.928270            25.283264            21.754695            71.966229           
450.000000           24.986822            25.341784            21.807732            72.136338           
451.000000           25.046193            25.400822            21.860558            72.307574           
452.000000           25.106783            25.458790            21.912826            72.478400           
453.000000           25.168622            25.516131            21.965206            72.649959           
454.000000           25.231053            25.572576            22.017626            72.821254           
455.000000           25.294111            25.628820            22.068729            72.991661           
456.000000           25.356888            25.685192            22.119003            73.161083           
457.000000           25.420086            25.740684            22.169042            73.329811           
458.000000           25.484038            25.795784            22.220050            73.499872           
459.000000           25.547768            25.850825            22.271493            73.670086           
460.000000           25.611562            25.905369            22.323183            73.840114           
461.000000           25.674890            25.960700            22.375177            74.010767           
462.000000           25.738426            26.014809            22.426799            74.180034           
463.000000           25.801988            26.068655            22.478787            74.349429           
464.000000           25.865804            26.122179            22.529664            74.517648           
465.000000           25.929737            26.173951            22.581737            74.685425           
466.000000           25.993119            26.225567            22.634585            74.853271           
467.000000           26.056267            26.277351            22.687073            75.020691           
